board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-gcse,chemistry,4ch1,2020-01,4CH1/1CR,none,qp,,https://cdn.savemyexams.com/uploads/2023/03/4ch1-1cr-jan2020-qp.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2020 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2020-01,4CH1/2CR,none,qp,,,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2020 question paper,na:sme-content-dup
pearson-edexcel,international-gcse,chemistry,4ch1,2020-06,4CH1/1C,none,ms,,,Pearson Edexcel chemistry (4ch1) 4CH1/1C 2020 mark scheme,na:f6-print-conflict
pearson-edexcel,international-gcse,chemistry,4ch1,2020-06,4CH1/2C,none,ms,,,Pearson Edexcel chemistry (4ch1) 4CH1/2C 2020 mark scheme,na:f6-print-conflict
pearson-edexcel,international-gcse,chemistry,4ch1,2020-11,4CH1/1C,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/International%20GCSE/Chemistry/2020%20Nov/Question-paper,https://papers.xtremepape.rs/Edexcel/International%20GCSE/Chemistry/2020%20Nov/Question-paper/Questionpaper-Paper1C-November2020.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1C 2020 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2020-11,4CH1/1CR,none,qp,,,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2020 question paper,na:pmt-not-listed
pearson-edexcel,international-gcse,chemistry,4ch1,2020-11,4CH1/2C,none,qp,,,Pearson Edexcel chemistry (4ch1) 4CH1/2C 2020 question paper,na:pmt-not-listed
pearson-edexcel,international-gcse,chemistry,4ch1,2020-11,4CH1/2CR,none,qp,,,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2020 question paper,na:pmt-not-listed
pearson-edexcel,international-gcse,chemistry,4ch1,2021-01,4CH1/1CR,none,qp,,https://cdn.savemyexams.com/uploads/2022/12/4ch1-1cr-que-20210304.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2021 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2021-01,4CH1/2CR,none,qp,,https://cdn.savemyexams.com/uploads/2022/12/4ch1-2cr-que-20210304.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2021 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2022-01,4CH1/1CR,none,qp,,https://cdn.savemyexams.com/uploads/2022/12/4ch1-1cr-que-20220108.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2022 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2022-01,4CH1/2CR,none,qp,,https://cdn.savemyexams.com/uploads/2022/12/4ch1-2cr-que-20220118.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2022 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2022-06,4CH1/1CR,none,qp,,https://cdn.savemyexams.com/uploads/2023/09/4ch1-1cr-que-june-2022.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2022 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2022-06,4CH1/2CR,none,qp,,https://cdn.savemyexams.com/uploads/2023/09/4ch1-2cr-que-june-2022.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2022 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2023-01,4CH1/1CR,none,qp,,https://qualifications.pearson.com/content/dam/pdf/International%20GCSE/Chemistry/2017/exam-materials/4ch1-1cr-que-20230112.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2023 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2023-01,4CH1/2CR,none,qp,,https://qualifications.pearson.com/content/dam/pdf/International%20GCSE/Chemistry/2017/exam-materials/4ch1-2cr-que-20230119.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2023 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2023-06,4CH1/1CR,none,qp,,https://qualifications.pearson.com/content/dam/pdf/International-GCSE/Chemistry/2017/Exam-materials/4ch1-1cr-que-20230523.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2023 question paper,normalized
